UART Serial read,40:42.3,UART Serial ready,,,,,
Timestamp,40:42.3,Event,LeftIndicator,RightIndicator,Hazard,LeftButton,RightButton
1209,40:43.0,STATUS_UPDATE,0,0,0,0,0
2209,40:44.0,STATUS_UPDATE,0,0,0,0,0
3209,40:45.0,STATUS_UPDATE,0,0,0,0,0
4209,40:46.0,STATUS_UPDATE,0,0,0,0,0
5209,40:47.0,STATUS_UPDATE,0,0,0,0,0
6209,40:48.0,STATUS_UPDATE,0,0,0,0,0
7209,40:49.0,STATUS_UPDATE,0,0,0,0,0
8209,40:50.0,STATUS_UPDATE,0,0,0,0,0
9209,40:51.0,STATUS_UPDATE,0,0,0,0,0
10209,40:52.0,STATUS_UPDATE,0,0,0,0,0
11209,40:53.0,STATUS_UPDATE,0,0,0,0,0
12209,40:54.0,STATUS_UPDATE,0,0,0,0,0
13209,40:55.0,STATUS_UPDATE,0,0,0,0,0
14209,40:56.0,STATUS_UPDATE,0,0,0,0,0
15209,40:57.0,STATUS_UPDATE,0,0,0,0,0
15914,40:57.7,LEFT_BUTTON_PRESSED,0,0,0,1,0
16209,40:58.0,STATUS_UPDATE,0,0,0,1,0
17209,40:59.0,STATUS_UPDATE,0,0,0,1,0
17888,40:59.7,LEFT_INDICATOR_ON,1,0,0,0,0
18209,41:00.0,STATUS_UPDATE,1,0,0,0,0
19209,41:01.0,STATUS_UPDATE,1,0,0,0,0
20209,41:02.0,STATUS_UPDATE,1,0,0,0,0
21209,41:03.0,STATUS_UPDATE,1,0,0,0,0
22209,41:04.0,STATUS_UPDATE,1,0,0,0,0
23209,41:05.0,STATUS_UPDATE,1,0,0,0,0
24209,41:06.0,STATUS_UPDATE,1,0,0,0,0
25209,41:07.0,STATUS_UPDATE,1,0,0,0,0
26209,41:08.0,STATUS_UPDATE,1,0,0,0,0
27054,41:08.9,LEFT_BUTTON_PRESSED,1,0,0,1,0
27209,41:09.0,STATUS_UPDATE,1,0,0,1,0
28209,41:10.0,STATUS_UPDATE,1,0,0,1,0
29209,41:11.0,STATUS_UPDATE,1,0,0,1,0
29247,41:11.1,LEFT_INDICATOR_OFF,0,0,0,0,0
30209,41:12.0,STATUS_UPDATE,0,0,0,0,0
31209,41:13.0,STATUS_UPDATE,0,0,0,0,0
32209,41:14.0,STATUS_UPDATE,0,0,0,0,0
33115,41:14.9,RIGHT_BUTTON_PRESSED,0,0,0,0,1
33209,41:15.0,STATUS_UPDATE,0,0,0,0,1
34209,41:16.0,STATUS_UPDATE,0,0,0,0,1
35209,41:17.0,STATUS_UPDATE,0,0,0,0,1
35211,41:17.0,RIGHT_INDICATOR_ON,0,1,0,0,0
36209,41:18.0,STATUS_UPDATE,0,1,0,0,0
37209,41:19.0,STATUS_UPDATE,0,1,0,0,0
38209,41:20.0,STATUS_UPDATE,0,1,0,0,0
39209,41:21.0,STATUS_UPDATE,0,1,0,0,0
40209,41:22.0,STATUS_UPDATE,0,1,0,0,0
40888,41:22.7,RIGHT_BUTTON_PRESSED,0,1,0,0,1
41209,41:23.0,STATUS_UPDATE,0,1,0,0,1
42209,41:24.0,STATUS_UPDATE,0,1,0,0,1
43209,41:25.0,STATUS_UPDATE,0,1,0,0,1
44144,41:26.0,RIGHT_INDICATOR_OFF,0,0,0,0,0
44209,41:26.0,STATUS_UPDATE,0,0,0,0,0
45209,41:27.0,STATUS_UPDATE,0,0,0,0,0
46209,41:28.0,STATUS_UPDATE,0,0,0,0,0
47209,41:29.0,STATUS_UPDATE,0,0,0,0,0
48209,41:30.0,STATUS_UPDATE,0,0,0,0,0
49209,41:31.0,STATUS_UPDATE,0,0,0,0,0
49305,41:31.1,LEFT_BUTTON_PRESSED,0,0,0,1,0
50209,41:32.0,STATUS_UPDATE,0,0,0,1,0
51209,41:33.0,STATUS_UPDATE,0,0,0,1,0
52209,41:34.0,STATUS_UPDATE,0,0,0,1,0
53209,41:35.0,STATUS_UPDATE,0,0,0,1,0
54209,41:36.0,STATUS_UPDATE,0,0,0,1,0
55209,41:37.0,STATUS_UPDATE,0,0,0,1,0
55445,41:37.3,LEFT_INDICATOR_ON,1,0,0,1,0
56209,41:38.0,STATUS_UPDATE,1,0,0,0,0
57209,41:39.0,STATUS_UPDATE,1,0,0,0,0
58209,41:40.0,STATUS_UPDATE,1,0,0,0,0
59209,41:41.0,STATUS_UPDATE,1,0,0,0,0
59540,41:41.3,RIGHT_BUTTON_PRESSED,1,0,0,0,1
60209,41:42.0,STATUS_UPDATE,1,0,0,0,1
61209,41:43.0,STATUS_UPDATE,1,0,0,0,1
62209,41:44.0,STATUS_UPDATE,1,0,0,0,1
63209,41:45.0,STATUS_UPDATE,1,0,0,0,1
63437,41:45.2,LEFT_INDICATOR_OFF,0,1,0,0,0
63440,41:45.2,RIGHT_INDICATOR_ON,0,1,0,0,0
64209,41:46.0,STATUS_UPDATE,0,1,0,0,0
65209,41:47.0,STATUS_UPDATE,0,1,0,0,0
66209,41:48.0,STATUS_UPDATE,0,1,0,0,0
67209,41:49.0,STATUS_UPDATE,0,1,0,0,0
68209,41:50.0,STATUS_UPDATE,0,1,0,0,0
69209,41:51.0,STATUS_UPDATE,0,1,0,0,0
70209,41:52.0,STATUS_UPDATE,0,1,0,0,0
71209,41:53.0,STATUS_UPDATE,0,1,0,0,0
72209,41:54.0,STATUS_UPDATE,0,1,0,0,0
72641,41:54.4,LEFT_BUTTON_PRESSED,0,1,0,1,0
73209,41:55.0,STATUS_UPDATE,0,1,0,1,0
74209,41:56.0,STATUS_UPDATE,0,1,0,1,0
75209,41:57.0,STATUS_UPDATE,0,1,0,1,0
76209,41:58.0,STATUS_UPDATE,0,1,0,1,0
76323,41:58.1,RIGHT_INDICATOR_OFF,1,0,0,0,0
76327,41:58.1,LEFT_INDICATOR_ON,1,0,0,0,0
77209,41:59.0,STATUS_UPDATE,1,0,0,0,0
78209,42:00.0,STATUS_UPDATE,1,0,0,0,0
79209,42:01.0,STATUS_UPDATE,1,0,0,0,0
80209,42:02.0,STATUS_UPDATE,1,0,0,0,0
81209,42:03.0,STATUS_UPDATE,1,0,0,0,0
82209,42:04.0,STATUS_UPDATE,1,0,0,0,0
83209,42:05.0,STATUS_UPDATE,1,0,0,0,0
83767,42:05.6,LEFT_BUTTON_PRESSED,1,0,0,1,0
84209,42:06.0,STATUS_UPDATE,1,0,0,1,0
85209,42:07.0,STATUS_UPDATE,1,0,0,1,0
86209,42:08.0,STATUS_UPDATE,1,0,0,1,0
86371,42:08.2,LEFT_INDICATOR_OFF,0,0,0,1,0
86375,42:08.2,LEFT_BUTTON_PRESSED,0,0,0,0,0
86468,42:08.3,LEFT_BUTTON_PRESSED,0,0,0,1,0
87209,42:09.0,STATUS_UPDATE,0,0,0,0,0
88209,42:10.0,STATUS_UPDATE,0,0,0,0,0
89209,42:11.0,STATUS_UPDATE,0,0,0,0,0
90209,42:12.0,STATUS_UPDATE,0,0,0,0,0
91209,42:13.0,STATUS_UPDATE,0,0,0,0,0
92209,42:14.0,STATUS_UPDATE,0,0,0,0,0
93209,42:15.0,STATUS_UPDATE,0,0,0,0,0
94209,42:16.0,STATUS_UPDATE,0,0,0,0,0
95209,42:17.0,STATUS_UPDATE,0,0,0,0,0
95411,42:17.2,RIGHT_BUTTON_PRESSED,0,0,0,0,1
95464,42:17.3,BOTH_BUTTONS_PRESSED,0,0,0,1,1
96209,42:18.0,STATUS_UPDATE,0,0,0,1,1
97209,42:19.0,STATUS_UPDATE,0,0,0,1,1
98209,42:20.0,STATUS_UPDATE,0,0,0,1,1
